config,theta1,theta2,accuracy,mean_latency_ms,rate_tier1,rate_tier2,rate_tier3,n_tier1,n_tier2,n_tier3
ablation_tier1_only,,,0.9828571428571429,0.5823959585781527,1.0,0.0,0.0,700,0,0
ablation_tier3_only,,,0.8385714285714285,128.52839326000256,0.0,0.0,1.0,0,0,700
ablation_two_tier,,,0.99,0.7498903314223883,0.9285714285714286,0.07142857142857142,0.0,650,50,0
pipeline_theta1_0.50_theta2_0.50,0.5,0.5,0.9857142857142858,0.6618978942872543,0.9685714285714285,0.03142857142857143,0.0,678,22,0
pipeline_theta1_0.50_theta2_0.60,0.5,0.6,0.9857142857142858,0.713120934285923,0.9685714285714285,0.03142857142857143,0.0,678,22,0
pipeline_theta1_0.50_theta2_0.70,0.5,0.7,0.9871428571428571,1.2246030828613843,0.9685714285714285,0.02857142857142857,0.002857142857142857,678,20,2
pipeline_theta1_0.50_theta2_0.80,0.5,0.8,0.9871428571428571,1.4686802785744086,0.9685714285714285,0.027142857142857142,0.004285714285714286,678,19,3
pipeline_theta1_0.50_theta2_0.90,0.5,0.9,0.9885714285714285,1.918688849978675,0.9685714285714285,0.022857142857142857,0.008571428571428572,678,16,6
pipeline_theta1_0.60_theta2_0.50,0.6,0.5,0.9871428571428571,0.6913421514186017,0.9528571428571428,0.047142857142857146,0.0,667,33,0
pipeline_theta1_0.60_theta2_0.60,0.6,0.6,0.9871428571428571,0.6965710171490562,0.9528571428571428,0.047142857142857146,0.0,667,33,0
pipeline_theta1_0.60_theta2_0.70,0.6,0.7,0.9885714285714285,1.2043187199846475,0.9528571428571428,0.04428571428571428,0.002857142857142857,667,31,2
pipeline_theta1_0.60_theta2_0.80,0.6,0.8,0.9885714285714285,1.4198216057262212,0.9528571428571428,0.04285714285714286,0.004285714285714286,667,30,3
pipeline_theta1_0.60_theta2_0.90,0.6,0.9,0.99,1.9557151585734442,0.9528571428571428,0.03857142857142857,0.008571428571428572,667,27,6
pipeline_theta1_0.70_theta2_0.50,0.7,0.5,0.99,0.978719872858684,0.9285714285714286,0.07,0.0014285714285714286,650,49,1
pipeline_theta1_0.70_theta2_0.60,0.7,0.6,0.99,0.9822058685787332,0.9285714285714286,0.07,0.0014285714285714286,650,49,1
pipeline_theta1_0.70_theta2_0.70,0.7,0.7,0.9914285714285714,1.5011756028694176,0.9285714285714286,0.06714285714285714,0.004285714285714286,650,47,3
pipeline_theta1_0.70_theta2_0.80,0.7,0.8,0.9914285714285714,1.6921658028552753,0.9285714285714286,0.06571428571428571,0.005714285714285714,650,46,4
pipeline_theta1_0.70_theta2_0.90,0.7,0.9,0.9914285714285714,2.6951244671395864,0.9285714285714286,0.05857142857142857,0.012857142857142857,650,41,9
pipeline_theta1_0.80_theta2_0.50,0.8,0.5,0.99,1.1392495085673155,0.87,0.12857142857142856,0.0014285714285714286,609,90,1
pipeline_theta1_0.80_theta2_0.60,0.8,0.6,0.99,1.1446136485814609,0.87,0.12857142857142856,0.0014285714285714286,609,90,1
pipeline_theta1_0.80_theta2_0.70,0.8,0.7,0.9914285714285714,1.6392001457123635,0.87,0.12571428571428572,0.004285714285714286,609,88,3
pipeline_theta1_0.80_theta2_0.80,0.8,0.8,0.9914285714285714,1.8241540557080174,0.87,0.12428571428571429,0.005714285714285714,609,87,4
pipeline_theta1_0.80_theta2_0.90,0.8,0.9,0.9914285714285714,2.8495902471338144,0.87,0.11714285714285715,0.012857142857142857,609,82,9
pipeline_theta1_0.90_theta2_0.50,0.9,0.5,0.99,1.3965530785708324,0.7557142857142857,0.24285714285714285,0.0014285714285714286,529,170,1
pipeline_theta1_0.90_theta2_0.60,0.9,0.6,0.9885714285714285,1.6002621600052538,0.7557142857142857,0.24142857142857144,0.002857142857142857,529,169,2
pipeline_theta1_0.90_theta2_0.70,0.9,0.7,0.99,2.091826911426194,0.7557142857142857,0.23857142857142857,0.005714285714285714,529,167,4
pipeline_theta1_0.90_theta2_0.80,0.9,0.8,0.9885714285714285,2.894427004275063,0.7557142857142857,0.23285714285714285,0.011428571428571429,529,163,8
pipeline_theta1_0.90_theta2_0.90,0.9,0.9,0.9885714285714285,3.9180275514315457,0.7557142857142857,0.2257142857142857,0.018571428571428572,529,158,13
